timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1615701646298,239,Open_Computers_Page-0,301,Moved Permanently,Thread Group 1-6,,true,,1405,451,10,10,http://demo.nopcommerce.com/computers,239,0,0
1615701646537,592,Open_Computers_Page-1,200,OK,Thread Group 1-6,text,true,,6336,716,10,10,https://demo.nopcommerce.com/computers,591,0,0
1615701646297,831,Open_Computers_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,7741,1167,10,10,null,239,7,0
1615701646276,885,Open_Category_Page,200,OK,Thread Group 1-4,text,true,,8408,1184,10,10,https://demo.nopcommerce.com/desktops,259,0,0
1615701646276,259,Open_Category_Page-0,301,Moved Permanently,Thread Group 1-4,,true,,1402,459,10,10,http://demo.nopcommerce.com/desktops,259,0,0
1615701646535,626,Open_Category_Page-1,200,OK,Thread Group 1-4,text,true,,7006,725,10,10,https://demo.nopcommerce.com/desktops,626,0,0
1615701646276,885,Open_Category_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,8408,1184,10,10,null,259,5,0
1615701646285,920,Open_Item_Page,200,OK,Thread Group 1-1,text,true,,13435,1229,10,10,https://demo.nopcommerce.com/lenovo-thinkpad-x1-carbon-laptop,272,0,0
1615701646285,272,Open_Item_Page-0,301,Moved Permanently,Thread Group 1-1,,true,,1426,482,10,10,http://demo.nopcommerce.com/lenovo-thinkpad-x1-carbon-laptop,272,0,0
1615701646558,647,Open_Item_Page-1,200,OK,Thread Group 1-1,text,true,,12009,747,10,10,https://demo.nopcommerce.com/lenovo-thinkpad-x1-carbon-laptop,646,0,0
1615701646284,920,Open_Item_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,13435,1229,10,10,null,272,1,0
1615701646484,745,Open_Main_Page,200,OK,Thread Group 1-8,text,true,,8789,1072,10,10,https://demo.nopcommerce.com/,261,0,0
1615701646484,261,Open_Main_Page-0,301,Moved Permanently,Thread Group 1-8,,true,,1392,403,10,10,http://demo.nopcommerce.com/,261,0,0
1615701646745,484,Open_Main_Page-1,200,OK,Thread Group 1-8,text,true,,7397,669,10,10,https://demo.nopcommerce.com/,483,0,0
1615701646483,745,Open_Main_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,8789,1072,10,10,null,261,1,0
1615701646431,809,Open_Item_Page,200,OK,Thread Group 1-7,text,true,,10335,1212,10,10,https://demo.nopcommerce.com/build-your-own-computer,241,0,0
1615701646431,241,Open_Item_Page-0,301,Moved Permanently,Thread Group 1-7,,true,,1415,473,10,10,http://demo.nopcommerce.com/build-your-own-computer,241,0,0
1615701646673,567,Open_Item_Page-1,200,OK,Thread Group 1-7,text,true,,8920,739,10,10,https://demo.nopcommerce.com/build-your-own-computer,567,0,0
1615701646431,809,Open_Item_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,10335,1212,10,10,null,241,0,0
1615701646407,855,Open_Item_Page,200,OK,Thread Group 1-10,text,true,,12011,1205,10,10,https://demo.nopcommerce.com/adobe-photoshop-cs4,268,0,0
1615701646407,268,Open_Item_Page-0,301,Moved Permanently,Thread Group 1-10,,true,,1411,469,10,10,http://demo.nopcommerce.com/adobe-photoshop-cs4,268,0,0
1615701646676,586,Open_Item_Page-1,200,OK,Thread Group 1-10,text,true,,10600,736,10,10,https://demo.nopcommerce.com/adobe-photoshop-cs4,586,0,0
1615701646407,855,Open_Item_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,12011,1205,10,10,null,268,0,0
1615701646992,869,Open_Main_Page,200,OK,Thread Group 1-2,text,true,,8787,1074,10,10,https://demo.nopcommerce.com/,248,0,0
1615701646992,248,Open_Main_Page-0,301,Moved Permanently,Thread Group 1-2,,true,,1394,403,10,10,http://demo.nopcommerce.com/,248,0,0
1615701647240,621,Open_Main_Page-1,200,OK,Thread Group 1-2,text,true,,7393,671,10,10,https://demo.nopcommerce.com/,621,0,0
1615701646992,869,Open_Main_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,8787,1074,10,10,null,248,1,0
1615701646954,1194,Open_Category_Page,200,OK,Thread Group 1-3,text,true,,8460,1183,10,10,https://demo.nopcommerce.com/desktops,254,0,0
1615701646954,254,Open_Category_Page-0,301,Moved Permanently,Thread Group 1-3,,true,,1406,459,10,10,http://demo.nopcommerce.com/desktops,254,0,0
1615701647209,939,Open_Category_Page-1,200,OK,Thread Group 1-3,text,true,,7054,724,10,10,https://demo.nopcommerce.com/desktops,932,0,0
1615701646954,1194,Open_Category_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,8460,1183,10,10,null,254,4,0
1615701646998,1160,Open_Item_Page,200,OK,Thread Group 1-9,text,true,,12015,1205,10,10,https://demo.nopcommerce.com/adobe-photoshop-cs4,257,0,0
1615701646998,257,Open_Item_Page-0,301,Moved Permanently,Thread Group 1-9,,true,,1415,469,10,10,http://demo.nopcommerce.com/adobe-photoshop-cs4,257,0,0
1615701647255,903,Open_Item_Page-1,200,OK,Thread Group 1-9,text,true,,10600,736,10,10,https://demo.nopcommerce.com/adobe-photoshop-cs4,903,0,0
1615701646998,1160,Open_Item_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,12015,1205,10,10,null,257,0,0
1615701647135,1062,Open_Category_Page,200,OK,Thread Group 1-6,text,true,,8575,1183,10,10,https://demo.nopcommerce.com/software,259,0,0
1615701647135,259,Open_Category_Page-0,301,Moved Permanently,Thread Group 1-6,,true,,1398,459,10,10,http://demo.nopcommerce.com/software,259,0,0
1615701647395,802,Open_Category_Page-1,200,OK,Thread Group 1-6,text,true,,7177,724,10,10,https://demo.nopcommerce.com/software,801,0,0
1615701647135,1062,Open_Category_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,8575,1183,10,10,null,259,2,0
1615701647240,987,Open_Main_Page,200,OK,Thread Group 1-7,text,true,,8790,1071,10,10,https://demo.nopcommerce.com/,300,0,0
1615701647240,300,Open_Main_Page-0,301,Moved Permanently,Thread Group 1-7,,true,,1394,403,10,10,http://demo.nopcommerce.com/,300,0,0
1615701647540,687,Open_Main_Page-1,200,OK,Thread Group 1-7,text,true,,7396,668,10,10,https://demo.nopcommerce.com/,687,0,0
1615701647240,987,Open_Main_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,8790,1071,10,10,null,300,1,0
1615701647205,1025,Open_Main_Page,200,OK,Thread Group 1-1,text,true,,8785,1071,10,10,https://demo.nopcommerce.com/,300,0,0
1615701647205,300,Open_Main_Page-0,301,Moved Permanently,Thread Group 1-1,,true,,1398,403,10,10,http://demo.nopcommerce.com/,300,0,0
1615701647506,724,Open_Main_Page-1,200,OK,Thread Group 1-1,text,true,,7387,668,10,10,https://demo.nopcommerce.com/,724,0,0
1615701647205,1025,Open_Main_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,8785,1071,10,10,null,300,1,0
1615701647262,986,Open_Main_Page,200,OK,Thread Group 1-10,text,true,,8788,1073,10,10,https://demo.nopcommerce.com/,316,0,0
1615701647262,316,Open_Main_Page-0,301,Moved Permanently,Thread Group 1-10,,true,,1394,403,10,10,http://demo.nopcommerce.com/,316,0,0
1615701647578,670,Open_Main_Page-1,200,OK,Thread Group 1-10,text,true,,7394,670,10,10,https://demo.nopcommerce.com/,670,0,0
1615701647262,986,Open_Main_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,8788,1073,10,10,null,316,0,0
1615701647166,1094,Open_Item_Page,200,OK,Thread Group 1-4,text,true,,13159,1236,10,10,https://demo.nopcommerce.com/lenovo-ideacentre-600-all-in-one-pc,246,0,0
